2561_0	['C(C(C)O)(O)=O', 'C(C)=CC=O']	['C(CC(C)CC(C(O)=O)O)=O']	Michael Addition 0,2, 	710.46
2563_0	['C(C(C)O)(O)=O', 'C(C)=CC=O']	['C(C(C)(C(C)CC=O)O)(O)=O']	Michael Addition 0,2, 	560.2
2565_0	['C(C(C=O)(C)O)(O)=O', 'C(C)=CC=O']	['C(C(C=O)(CC(C)CC=O)O)(O)=O']	Michael Addition 0,2, 	710.43
2567_0	['C(C(C=O)O)(O)=O', 'C(C)=CC=O']	['C(C(C=O)(C(C)CC=O)O)(O)=O']	Michael Addition 0,2, 	524.89
2569_0	['C(C)=CC=O', 'C(C)=CC=O']	['C(CC(C)CC=CC=O)=O']	Michael Addition 0,2, 	471.63
2571_0	['C(C)=CC=O', 'C(CC=C)=O']	['C(C(C=C)C(C)CC=O)=O']	Michael Addition 0,2, 	712.77
2573_0	['C(C)=CC=O', 'C(C)=CC(C(O)=O)=O']	['C(CC(C)CC=CC(C(O)=O)=O)=O']	Michael Addition 0,2, 	1139.79
2575_0	['C(C)=CC=O', 'C(C)=CC(C(O)=O)=O']	['C(CC(C)CC(C(O)=O)=O)=CC=O']	Michael Addition 0,2, 	1414.21
2577_0	['C(C)=CC=O', 'C=CCC(C(O)=O)=O']	['C(CC(C)C(C=C)C(C(O)=O)=O)=O']	Michael Addition 0,2, 	560.2
2579_0	['C(C)=CC=O', 'C(CC(C(O)=O)=C)=O']	['C(C(C(C(O)=O)=C)C(C)CC=O)=O']	Michael Addition 0,2, 	115.43
2581_0	['C(C)=CC=O', 'C(CC(C(O)=O)=C)=O']	['C(CC(C(O)=O)CCC=CC=O)=O']	Michael Addition 0,2, 	496.45
2583_0	['C(C)=CC=O', 'C(C=C(C(O)=O)C)=O']	['C(CC(C)CC(C(O)=O)=CC=O)=O']	Michael Addition 0,2, 	1087.9
2585_0	['C(C)=CC=O', 'C(C=C(C(O)=O)C)=O']	['C(CC(C(O)=O)(C)CC=CC=O)=O']	Michael Addition 0,2, 	907.0
2587_0	['C(C)=CC=O', 'C(C=C(C(O)=O)C)=O']	['C(C(CC=CC=O)C(C(O)=O)C)=O']	Michael Addition 0,2, 	961.28
2589_0	['C(C)=CC=O', 'CC(C(CO)O)O']	['C(CC(C)C(CO)(C(C)O)O)=O']	Michael Addition 0,2, 	703.74
2591_0	['C(C)=CC=O', 'CC(C(CO)O)O']	['C(CC(C)C(C(C(C)O)O)O)=O']	Michael Addition 0,2, 	973.52
2593_0	['C(C)=CC=O', 'CC(C(CO)O)O']	['C(CC(C)CC(C(CO)O)O)=O']	Michael Addition 0,2, 	1221.5
2595_0	['C(C)=CC=O', 'CC(C(CO)O)O']	['C(CC(C)C(C)(C(CO)O)O)=O']	Michael Addition 0,2, 	1030.56
2597_0	['C(C)=CC=O', 'C1(C(OC(C)C1)=O)=O']	['C(CC(C)C1C(C(OC1C)=O)=O)=O']	Michael Addition 0,2, 	560.2
2599_0	['C(C)=CC=O', 'C1(C(OC(C)C1)=O)=O']	['C(CC(C)CC1CC(C(O1)=O)=O)=O']	Michael Addition 0,2, 	560.2
2601_0	['C(C)=CC=O', 'C1(C(OC(C)C1)=O)=O']	['C(CC(C)C1(C)CC(C(O1)=O)=O)=O']	Michael Addition 0,2, 	1196.93
2603_0	['C(C)=CC=O', 'C1(CC(C(O1)=O)=O)=O']	['C(CC(C)C1C(OC(C1=O)=O)=O)=O']	Michael Addition 0,2, 	1132.58
2605_0	['C(CC=C)=O', 'C(C)=CC(C(O)=O)=O']	['C(C(C=C)C(C)CC(C(O)=O)=O)=O']	Michael Addition 0,2, 	1229.42
2607_0	['C(CC=C)=O', 'C(CC(C(O)=O)=C)=O']	['C(C(C=C)CC(C(O)=O)CC=O)=O']	Michael Addition 0,2, 	743.84
